user_id,median_session_gap_hours,session_gap_std_hours,peak_velocity_events_per_2h,cancellation_ratio,completed_kyc,made_deposit,made_transaction,completed_credit,has_activity_spike,event_type_diversity
1,16.0,2.8284271247461903,1,0.0,0,0,0,0,0,0.3
2,0.0,0.0,1,0.0,0,0,0,0,0,0.1
3,17.0,7.211102550927978,1,0.0,1,0,0,0,0,0.4
4,21.0,21.213203435596427,1,0.0,0,0,0,0,0,0.3
5,22.0,8.48528137423857,1,0.0,0,0,0,0,0,0.3
6,24.0,29.698484809834994,1,0.0,0,0,0,0,0,0.3
7,16.0,,1,0.0,0,0,0,0,0,0.2
8,43.0,38.39661443408781,1,0.0,1,1,1,0,0,0.6
9,26.0,21.384573879317774,1,0.0,1,1,1,0,0,0.6
10,60.0,39.62743157628732,1,0.0,1,0,0,0,0,0.4
11,9.0,5.656854249492381,1,0.0,0,0,0,0,0,0.3
12,28.0,,1,0.0,0,0,0,0,0,0.2
13,19.0,,1,0.0,0,0,0,0,0,0.2
14,66.0,56.536124144951195,1,0.0,1,0,0,0,0,0.4
15,6.0,2.8284271247461903,1,0.0,0,0,0,0,0,0.3
16,39.0,46.371686763943934,1,0.0,1,0,0,0,0,0.4
17,0.0,0.0,1,0.0,0,0,0,0,0,0.1
18,22.0,,1,0.0,0,0,0,0,0,0.2
19,57.0,57.01169470672954,1,0.0,1,0,0,0,0,0.4
20,16.0,,1,0.0,0,0,0,0,0,0.2
21,23.0,13.076696830622021,1,0.0,1,0,0,0,0,0.4
22,39.0,11.313708498984761,1,0.0,0,0,0,0,0,0.3
23,29.0,,1,0.0,0,0,0,0,0,0.2
24,19.0,,1,0.0,0,0,0,0,0,0.2
25,26.0,,1,0.0,0,0,0,0,0,0.2
26,29.0,1.4142135623730951,1,0.0,0,0,0,0,0,0.3
27,19.0,,1,0.0,0,0,0,0,0,0.2
28,34.0,93.4381957690292,1,0.0,1,1,1,1,0,0.9
29,40.0,29.206163733020468,1,0.0,1,0,0,0,0,0.4
30,12.0,,1,0.0,0,0,0,0,0,0.2
31,47.5,40.47221268969612,1,0.0,1,1,0,0,0,0.5
32,20.0,,1,0.0,0,0,0,0,0,0.2
33,31.0,86.1141269313163,1,1.0,1,1,1,0,0,0.9
34,38.5,19.09188309203678,1,0.0,0,0,0,0,0,0.3
35,59.0,50.54041287260457,1,0.0,1,0,0,0,0,0.4
36,14.0,2.8284271247461903,1,0.0,0,0,0,0,0,0.3
37,24.0,42.71221527073178,1,0.0,1,0,0,0,0,0.4
38,27.0,4.041451884327381,1,0.0,1,0,0,0,0,0.4
39,15.0,12.727922061357857,1,0.0,0,0,0,0,0,0.3
40,22.0,42.714166268347086,1,0.0,1,1,1,0,0,0.6
41,0.0,0.0,1,0.0,0,0,0,0,0,0.1
42,36.0,,1,0.0,0,0,0,0,0,0.2
43,22.5,30.405591591021544,1,0.0,0,0,0,0,0,0.3
44,17.0,,1,0.0,0,0,0,0,0,0.2
45,32.0,44.132754276160924,1,0.0,1,1,1,0,0,0.6
46,5.0,,1,0.0,0,0,0,0,0,0.2
47,16.5,16.263455967290593,1,0.0,0,0,0,0,0,0.3
48,29.0,19.79898987322333,1,0.0,0,0,0,0,0,0.3
49,41.5,14.753530650887154,1,0.0,1,1,0,0,0,0.5
50,46.0,26.888659319497503,1,0.0,1,1,0,0,0,0.5
51,36.0,29.698484809834994,1,0.0,0,0,0,0,0,0.3
52,4.0,,1,0.0,0,0,0,0,0,0.2
53,34.0,,1,0.0,0,0,0,0,0,0.2
54,0.0,0.0,1,0.0,0,0,0,0,0,0.1
55,20.5,21.920310216782973,1,0.0,0,0,0,0,0,0.3
56,23.0,40.82523729263554,1,0.0,1,1,1,0,0,0.6
57,22.0,78.40633629642805,1,0.0,1,1,1,1,0,0.9
58,0.0,0.0,1,0.0,0,0,0,0,0,0.1
59,0.0,0.0,1,0.0,0,0,0,0,0,0.1
60,44.0,35.35533905932738,1,0.0,0,0,0,0,0,0.3
61,2.0,,1,0.0,0,0,0,0,0,0.2
62,12.0,,1,0.0,0,0,0,0,0,0.2
63,25.0,17.910890541790486,1,0.0,1,1,1,0,0,0.6
64,15.0,48.80915214724933,1,0.0,1,0,0,0,0,0.4
65,45.0,22.627416997969522,1,0.0,0,0,0,0,0,0.3
66,20.0,36.908912976987786,1,1.0,1,1,1,0,0,0.9
67,45.0,20.988091861815356,1,0.0,1,1,1,0,0,0.6
68,30.0,13.939153489362258,1,0.0,1,1,1,0,0,0.6
69,44.0,29.022979401386987,1,0.0,1,0,0,0,0,0.4
70,1.0,,1,0.0,0,0,0,0,0,0.2
71,5.0,5.656854249492381,2,0.0,0,0,0,0,0,0.3
72,20.0,42.109381377550534,1,0.0,1,1,1,0,0,0.6
73,8.0,7.071067811865475,1,0.0,0,0,0,0,0,0.3
74,30.0,28.2842712474619,1,0.0,0,0,0,0,0,0.3
